Charter#,Credit_Union,HQ_City,HQ_State,Assets_$,OOS_HQ_with_SoCal_branches,Branches_LA,Branches_SB,Branches_Riv,Branches_OC,Branches_Ventura,Branches_SD,Total_6cty,Counties,Priority,v5_status,Match_note,Source_link
68409,CABRILLO,San Diego,CA,571809282,,0,0,0,0,0,7,7,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
23494,CAROLINAS TELCO,Charlotte,NC,514359341,Y,0,0,0,0,0,1,1,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24927,"CREDIT UNION OF NEW JERSEY, A",Ewing,NJ,503973515,Y,0,0,0,1,0,0,1,OC,PRIORITY-4CTY,IN_V5,"charter match: CREDIT UNION OF NEW JERSEY, A",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
61003,WHEELHOUSE,San Diego,CA,456770671,,0,0,0,0,0,5,5,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
3943,GAIN,Burbank,CA,439328634,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: GAIN,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
14723,AEROSPACE,Los Angeles,CA,422785090,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: AEROSPACE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
97101,GLENDALE AREA SCHOOLS,Glendale,CA,421654861,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: GLENDALE AREA SCHOOLS,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
66847,EAGLE COMMUNITY,Lake Forest,CA,411440538,,1,0,0,5,0,0,6,LA+OC,PRIORITY-4CTY,IN_V5,charter match: EAGLE COMMUNITY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
95071,CAHP,Sacramento,CA,403972301,,0,1,0,0,0,0,1,SB,PRIORITY-4CTY,IN_V5,charter match: CAHP,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
23004,POPA,Cerritos,CA,399419595,,4,0,0,0,0,0,4,LA,PRIORITY-4CTY,IN_V5,charter match: POPA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
8187,AMERICAN UNITED,West Jordan,UT,394236316,Y,0,0,3,0,0,0,3,Riv,PRIORITY-4CTY,IN_V5,charter match: AMERICAN UNITED,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
594,PASADENA,Pasadena,CA,381308071,,5,0,0,0,0,0,5,LA,PRIORITY-4CTY,IN_V5,charter match: PASADENA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68483,MATADORS COMMUNITY,Northridge,CA,359947577,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: MATADORS COMMUNITY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
15317,SAG-AFTRA,Burbank,CA,340594835,,4,0,0,0,0,1,5,LA+SD,PRIORITY-4CTY,IN_V5,charter match: SAG-AFTRA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
15358,ACTORS,New York,NY,334790375,Y,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: ACTORS,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
3945,UME,Burbank,CA,334142032,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: UME,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
11870,DOWNEY,Downey,CA,331199402,,3,0,0,0,0,0,3,LA,PRIORITY-4CTY,IN_V5,charter match: DOWNEY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
17127,TRUGROCER,Boise,ID,319382979,Y,0,0,0,1,0,0,1,OC,PRIORITY-4CTY,IN_V5,charter match: TRUGROCER,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
66638,GUARDIAN,Oak Creek,WI,291227504,Y,0,0,0,0,0,1,1,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
16402,U S POSTAL SERVICE,Clinton,MD,286334485,Y,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: U S POSTAL SERVICE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
1438,LONG BEACH CITY EMPLOYEES,Signal Hill,CA,279271327,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: LONG BEACH CITY EMPLOYEES,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
14830,EDWARDS,Edwards,CA,278913118,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: EDWARDS,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
16030,CHAFFEY,Upland,CA,229064484,,1,3,0,0,0,0,4,LA+SB,PRIORITY-4CTY,IN_V5,charter match: CHAFFEY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
9556,CLEARPATH,Burbank,CA,224391171,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: CLEARPATH,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
13476,CAROLINA FOOTHILLS,Spartanburg,SC,220475899,Y,0,0,0,0,0,1,1,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
64531,ALTA VISTA,Redlands,CA,211726159,,0,2,0,0,0,0,2,SB,PRIORITY-4CTY,IN_V5,charter match: ALTA VISTA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
60024,PRIORITY ONE,South Pasadena,CA,205736783,,3,0,0,0,0,0,3,LA,PRIORITY-4CTY,IN_V5,charter match: PRIORITY ONE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
67921,LONG BEACH FIREMEN S,Long Beach,CA,204273146,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: LONG BEACH FIREMEN S,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
3526,SCHOOLS,Torrance,CA,192652276,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: SCHOOLS,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
4633,CAMINO,Montebello,CA,179244240,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: CAMINO,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
62323,E-CENTRAL,Pasadena,CA,174543984,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: E-CENTRAL,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
14542,VIDA,Ontario,CA,172659135,,0,1,0,0,0,0,1,SB,PRIORITY-4CTY,IN_V5,charter match: VIDA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
95052,SOUTH BAY,Redondo Beach,CA,164333499,,3,0,0,0,0,0,3,LA,PRIORITY-4CTY,IN_V5,charter match: SOUTH BAY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
12543,TORRANCE COMMUNITY,Torrance,CA,160034712,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: TORRANCE COMMUNITY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
64834,CALIFORNIA LITHUANIAN,Santa Monica,CA,157863523,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: CALIFORNIA LITHUANIAN,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24110,SAN DIEGO FIREFIGHTERS,San Diego,CA,151717981,,0,0,0,0,0,2,2,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
